direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,ai,safety
28.527013487940422,1881.32606246262,10,9,2,255.0,3585,188.68421052631575,127.12242447076008,345,15,22.0,24.894736842105264,11.620737982010324,47,2,driver_ai,safe
41.18081800626967,1314.3167392021774,7,6,6,285.0,2535,195.0,134.29302061021409,345,15,22.0,23.538461538461537,13.06560596266387,47,2,driver_ai,safe
88.31123842161415,1914.523422209193,8,7,3,255.0,2835,189.0,108.0,345,15,22.0,21.33333333333333,13.021349989749739,42,2,driver_ai,safe
72.49191721726419,1721.622576244277,6,5,2,240.0,2100,190.9090909090909,105.50351527573471,330,30,27.0,26.09090909090909,13.621203694337904,47,7,beamng,safe
235.36105035453582,2008.2655555390145,7,6,1,255.0,2595,199.61538461538458,112.9237581199324,345,30,27.0,27.76923076923077,10.71414482860317,42,7,driver_ai,safe
19.865470719934493,2388.553984548917,7,9,3,97.5,2550,159.375,115.56755329676231,315,15,27.0,23.5625,16.0778137117582,47,2,driver_ai,safe
40.0,1589.7702659138251,6,7,5,120.0,2145,165.0,112.24972160321823,300,15,22.0,20.46153846153846,13.211972336398206,47,2,driver_ai,safe
72.49191721726419,1721.622576244277,6,5,2,240.0,2100,190.9090909090909,105.50351527573471,330,30,27.0,26.09090909090909,13.621203694337904,47,7,driver_ai,safe
41.18081800626967,1555.604746096465,6,8,3,105.0,2235,159.64285714285714,114.0404734812897,330,15,22.0,23.785714285714285,12.762548846575456,47,7,driver_ai,safe
127.18008183839727,2030.0288510844748,6,9,1,105.0,2250,150.0,116.4474130240771,330,15,22.0,22.0,14.719601443879744,47,2,beamng,safe
0.0,1589.25064764608,8,6,4,262.5,2835,202.5,125.85067682433359,345,15,27.0,28.07142857142857,13.519638021962646,47,7,driver_ai,safe
141.4829488642771,1837.6646300692762,5,6,1,105.0,1785,162.27272727272728,110.74876638680156,345,30,32.0,31.09090909090909,9.727697526833044,47,17,beamng,safe
239.43738967899463,1704.3671671728596,5,7,1,120.0,1905,158.75,113.32337578805178,345,15,24.5,22.0,15.67907310185565,47,2,driver_ai,safe
60.532587865090335,1657.270073170707,7,7,2,187.5,2460,175.71428571428572,114.57775187395586,345,30,19.5,19.142857142857142,13.59021256460032,47,2,driver_ai,safe
20.0,1806.8980794243732,7,8,4,120.0,2535,169.0,128.39003076563228,345,15,17.0,20.666666666666668,13.349989596333856,42,2,driver_ai,safe
177.5049295090139,2261.263881500493,9,14,3,90.0,3360,146.08695652173913,117.5469982023761,345,15,12.0,15.043478260869565,11.771292496244246,37,2,beamng,safe
99.40225667541227,1822.075979981197,10,12,4,105.0,3615,164.3181818181818,128.43724550556922,345,15,24.5,22.681818181818183,14.561425890583045,47,2,beamng,safe
60.532587865090335,1593.5980039737676,5,6,3,105.0,1905,173.1818181818182,114.83729057142165,330,45,32.0,31.54545454545455,13.726971700492273,47,12,beamng,safe
205.2997808084558,1182.73522653826,7,5,2,277.5,2475,206.25,123.71211541316394,330,30,32.0,29.91666666666667,14.355360980793511,47,7,driver_ai,safe
84.5803907040383,1330.0669202948234,7,6,7,240.0,2535,195.0,124.52988519906499,345,30,17.0,20.076923076923077,11.013708510212581,42,7,driver_ai,safe
270.7840377976009,1606.2689421119956,7,7,2,172.5,2430,173.5714285714286,129.99215046945514,345,15,27.0,28.785714285714285,13.707029330282493,47,7,driver_ai,safe
84.5803907040383,1218.7871329044785,4,4,1,172.5,1425,178.125,127.81670225365696,345,30,37.0,37.0,10.0,47,17,driver_ai,safe
20.0,1929.7543321005319,10,7,4,270.0,3585,210.88235294117646,119.49938830901344,345,30,22.0,24.058823529411764,15.05468693184674,47,2,driver_ai,safe
159.43379876284564,181.3720616827676,1,2,1,105.0,390,130.0,81.54753215150045,240,45,12.0,12.0,4.08248290463863,17,7,driver_ai,safe
270.7840377976009,429.49404556676683,1,1,1,180.0,360,180.0,75.0,255,105,32.0,32.0,15.0,47,17,beamng,safe
96.73815375500222,1699.3427305361545,8,5,4,255.0,2895,222.6923076923077,100.33818554912152,345,75,17.0,21.23076923076923,10.53312610586858,42,7,beamng,safe
134.57702793083573,1306.3049031423661,5,9,2,67.5,1920,137.14285714285714,124.45185939198521,345,15,22.0,24.142857142857146,13.978846993414946,47,2,driver_ai,safe
40.77496789914136,1775.9942039903399,4,8,3,67.5,1455,121.25,111.65656048795341,330,15,34.5,30.33333333333333,14.043582955293932,47,12,beamng,safe
205.2997808084558,2206.801130576617,7,8,2,120.0,2460,164.0,114.03508232118746,315,30,32.0,27.33333333333333,13.474255287605159,47,2,beamng,safe
88.31123842161415,1695.7078038984414,7,6,3,240.0,2580,198.46153846153842,120.7410550180174,345,45,27.0,23.923076923076927,12.48667929288302,47,2,beamng,safe
20.0,1759.9881431376334,7,6,4,255.0,2565,197.3076923076923,110.35982031893856,345,30,12.0,17.76923076923077,13.98435304822911,47,2,driver_ai,safe
40.0,2122.620975583027,11,7,4,277.5,3975,220.83333333333331,123.87549753235659,345,15,19.5,22.555555555555557,14.229164972072999,47,2,driver_ai,safe
177.5049295090139,1444.8484048005025,7,5,2,285.0,2565,213.75,115.07470399701229,345,30,29.5,25.75,10.825317547305485,42,7,driver_ai,safe
40.0,1736.81054256501,7,5,4,270.0,2505,208.75,119.9153347157902,345,15,12.0,20.33333333333333,17.118865486811778,47,2,driver_ai,safe
177.5049295090139,2677.1438346180007,11,10,4,240.0,3945,187.85714285714286,115.5995904236795,345,15,27.0,23.904761904761905,15.922146187905225,47,2,driver_ai,safe
20.00875747062484,1779.0690921625721,8,6,4,262.5,2910,207.85714285714286,120.248467256556,345,45,17.0,20.928571428571427,13.117405480147829,47,2,beamng,safe
85.76627489851562,1726.3186588550616,6,10,3,67.5,2190,136.875,124.92341403836193,330,15,29.5,26.0625,14.600807982779587,47,2,driver_ai,safe
49.2658996609579,1615.4812303799085,7,7,6,165.0,2445,174.64285714285714,122.59783681548686,330,15,17.0,20.928571428571427,13.910244352964606,47,2,beamng,safe
261.8802112564705,1735.6347691114804,9,8,2,240.0,3165,186.17647058823533,130.46894392429073,345,15,27.0,25.529411764705888,14.729392971234017,47,2,beamng,safe
120.09649018010694,1515.020917342304,5,7,4,67.5,1800,150.0,125.04999000399799,345,15,22.0,23.66666666666667,15.59023911155809,47,2,beamng,safe
22.13774082402075,2574.332624390641,10,9,4,240.0,3585,188.68421052631575,121.11154172978809,345,15,22.0,24.105263157894736,13.309651175159779,47,2,driver_ai,safe
191.65905615326017,1303.3690874390772,9,10,3,105.0,3225,169.73684210526315,129.31472912617133,345,15,22.0,24.105263157894736,14.89575968219464,47,2,driver_ai,safe
107.6421108302429,1450.615388420862,8,7,6,285.0,2910,194.0,134.21624342828255,345,15,32.0,28.33333333333333,11.61416759345623,47,2,driver_ai,safe
8.675194517261549,1255.312251721599,4,4,5,172.5,1425,178.125,118.45192854065313,345,15,29.5,28.875,14.563975247163803,47,2,beamng,safe
208.2081710662985,1538.2824091876264,7,6,1,270.0,2610,200.7692307692308,119.20967555346391,345,30,27.0,26.23076923076923,14.786448297493145,47,2,beamng,safe
87.02449603613024,1511.3931589838116,6,7,3,90.0,2145,165.0,116.48704120729812,315,15,12.0,18.153846153846157,14.432048491764398,47,2,beamng,safe
269.48612805935187,1506.5795007960733,5,4,2,255.0,1890,210.0,107.70329614269009,330,60,37.0,32.0,11.303883305208778,47,17,driver_ai,safe
191.58160418743432,1801.7365643140133,7,7,4,180.0,2655,189.64285714285717,115.30184433096657,345,15,17.0,20.214285714285715,13.443950160513367,47,2,beamng,safe
270.7840377976009,2049.124557670948,10,8,3,240.0,3525,195.83333333333331,124.44599453399677,345,15,22.0,23.38888888888889,14.318359965399859,47,2,driver_ai,safe
90.72583550702034,2026.9212683056824,7,9,3,112.5,2490,155.625,117.9760966255453,300,15,24.5,23.875,13.792547806696195,47,2,driver_ai,safe
233.21234958723787,2435.892433418041,11,9,2,247.5,3915,195.75,124.55194699401531,345,30,27.0,23.75,13.718144918318947,47,2,driver_ai,safe
232.31524718418905,361.5400212328807,2,1,2,285.0,735,245.0,101.9803902718557,345,105,27.0,23.66666666666667,16.49915822768611,42,2,beamng,safe
239.43738967899463,1532.751502527028,8,9,3,105.0,3000,176.47058823529412,132.12922268706978,345,15,17.0,19.94117647058824,12.725475089872903,42,2,driver_ai,safe
