is_start_seg,is_last_seg,prev_is_right_turn,prev_is_left_turn,prev_is_straight,prev_angles,prev_pivot_off,prev_actual_length,prev_direct_length,prev_directed_hausdorff,seg_is_right_turn,seg_is_left_turn,seg_is_straight,seg_angles,seg_pivot_off,seg_actual_length,seg_direct_length,next_is_right_turn,next_is_left_turn,next_is_straight,next_angles,next_pivot_off,next_actual_length,next_direct_length,next_directed_hausdorff,safety
0,0,0,1,0,-75,7,36.64028538688224,34.09064002448835,1.4464473131771167,0,1,0,-30,2,4.187461187072255,4.141104721640332,0,1,0,-105,2,14.656114154752894,12.69365344465976,0.0,safe
0,0,1,0,0,75,17,88.98355022528544,82.791554345186,87.3393887764973,1,0,0,60,42,175.87336985703473,168.0,0,1,0,-15,17,17.796710045057086,17.751562141927018,149.52674439221045,safe
0,0,0,0,1,0,0,50.0,50.0,75.28612089887484,0,1,0,-90,17,106.78026027034252,96.16652224137044,1,0,0,15,42,43.96834246425868,43.856800585937336,83.02615894689261,safe
0,0,1,0,0,90,27,169.59217807642636,152.73506473629425,21.466952850120503,0,0,1,0,0,70.0,70.0,0,1,0,-45,12,37.6871506836503,36.73760950704861,36.55446840408274,safe
0,0,1,0,0,30,12,25.12476712243353,24.84662832984199,30.357840956039013,0,1,0,-15,47,49.202668948099,49.07784827473939,1,0,0,105,37,271.13811186292855,234.83258872620567,15.232928204142466,safe
0,0,1,0,0,45,37,116.20204794125509,113.27429598006657,5.939548388979898,0,1,0,-30,7,14.656114154752894,14.49386652574116,1,0,0,105,22,161.21725570228188,139.63018789125738,5.7401078221617725,safe
0,0,0,1,0,-45,37,116.20204794125509,113.27429598006657,10.374768533707737,0,1,0,-45,12,37.6871506836503,36.73760950704861,0,1,0,-60,22,92.12414611558964,88.0,6.9397335299506855,safe
0,0,0,1,0,-120,22,184.24829223117928,152.42047106606114,91.30567118804012,1,0,0,105,17,124.57697031539959,107.89605427960794,0,0,1,0,0,50.0,50.0,81.4267789442135,safe
0,0,0,0,1,0,0,30.0,30.0,107.07510822795015,0,1,0,-60,32,133.99875798631217,128.0,0,1,0,-30,12,25.12476712243353,24.84662832984199,106.22869017517704,safe
0,0,0,0,1,0,0,90.0,90.0,44.901010123697745,0,1,0,-15,42,43.96834246425868,43.856800585937336,1,0,0,45,2,6.281191780608383,6.1229349178414365,42.27742216885971,safe
0,0,1,0,0,105,7,51.29639954163514,44.42778705630918,38.45764686214244,1,0,0,30,32,66.99937899315609,66.25767554624531,1,0,0,45,27,84.79608903821318,82.6596213908594,4.0342968276143685,safe
0,0,0,0,1,0,0,70.0,70.0,6.211657082460498,0,1,0,-30,2,4.187461187072255,4.141104721640332,0,1,0,-15,12,12.562383561216766,12.530514453124953,2.091737825943796,safe
0,0,0,1,0,-105,22,161.21725570228188,139.63018789125738,60.552731762033204,1,0,0,60,22,92.12414611558964,88.0,0,1,0,-75,17,88.98355022528544,82.791554345186,63.37454230853599,safe
1,0,0,0,0,-1,-1,-1.0,-1.0,-1.0,1,0,0,30,37,77.46803196083674,76.61043735034613,0,0,1,0,0,30.0,30.0,46.21898369990148,safe
0,0,1,0,0,60,2,8.37492237414451,7.999999999999999,37.519628473483074,0,1,0,-75,7,36.64028538688224,34.09064002448835,1,0,0,15,2,2.093730593536128,2.088419075520825,38.229494923586685,safe
0,0,1,0,0,60,32,133.99875798631217,128.0,87.74077452255287,0,1,0,-75,22,115.15518264448704,107.1420115055348,1,0,0,45,7,21.984171232129345,21.430272212445022,104.05092860558766,safe
0,0,0,0,1,0,0,10.0,10.0,22.140371799568836,1,0,0,75,7,36.64028538688224,34.09064002448835,1,0,0,30,27,56.53072602547547,55.90491374214449,14.726146262467433,safe
0,0,0,1,0,-15,17,17.796710045057086,17.751562141927018,14.6123234721324,1,0,0,60,7,29.312228309505787,28.0,0,1,0,-90,42,263.8100547855521,237.58787847867995,13.917795974699574,safe
1,0,0,0,0,-1,-1,-1.0,-1.0,-1.0,0,0,1,0,0,50.0,50.0,1,0,0,60,12,50.24953424486706,47.99999999999999,22.6391436580586,safe
0,0,0,1,0,-90,37,232.40409588251018,209.3036072312181,6.95708681497212,1,0,0,15,22,23.03103652889741,22.972609830729084,1,0,0,75,12,62.811917806083834,58.441097184837176,3.0437083845027213,safe
0,0,0,1,0,-60,37,154.93606392167342,148.0,24.7123074990713,0,0,1,0,0,90.0,90.0,1,0,0,15,42,43.96834246425868,43.856800585937336,47.88089118669394,safe
0,0,0,0,1,0,0,50.0,50.0,12.423314164920995,1,0,0,30,7,14.656114154752894,14.49386652574116,0,1,0,-60,12,50.24953424486706,47.99999999999999,4.9865596568019095,safe
0,0,1,0,0,15,37,38.734015980418356,38.63575289713527,6.285614189183064,0,1,0,-45,2,6.281191780608383,6.1229349178414365,1,0,0,105,22,161.21725570228188,139.63018789125738,4.007206814052135,safe
0,0,0,1,0,-30,27,56.53072602547547,55.90491374214449,167.21721454893415,0,1,0,-105,32,234.4978264760464,203.0984551145562,1,0,0,90,2,12.562383561216766,11.31370849898476,208.6347493569584,safe
0,0,1,0,0,75,12,62.811917806083834,58.441097184837176,38.74639999648813,0,0,1,0,0,70.0,70.0,0,0,1,0,0,10.0,10.0,60.0,safe
0,0,1,0,0,15,12,12.562383561216766,12.530514453124953,1.0442095377604126,1,0,0,15,2,2.093730593536128,2.088419075520825,0,1,0,-105,32,234.4978264760464,203.0984551145562,1.0442095377604126,safe
0,0,1,0,0,45,22,69.09310958669222,67.3522840962558,8.395637614448193,1,0,0,60,17,71.18684018022833,68.0,0,1,0,-30,47,98.405337896198,97.31596095854778,38.96619592568641,safe
0,0,0,0,1,0,0,50.0,50.0,24.0,1,0,0,60,7,29.312228309505787,28.0,0,1,0,-75,7,36.64028538688224,34.09064002448835,16.66325634805661,safe
0,0,1,0,0,15,12,12.562383561216766,12.530514453124953,1.0442095377604126,1,0,0,15,2,2.093730593536128,2.088419075520825,0,1,0,-75,7,36.64028538688224,34.09064002448835,1.0442095377604126,safe
0,1,1,0,0,45,27,84.79608903821318,82.6596213908594,157.74076748975457,0,1,0,-75,37,193.67007990209183,180.1933829865813,0,0,0,-1,-1,-1.0,-1.0,-1.0,safe
0,0,1,0,0,15,22,23.03103652889741,22.972609830729084,0.0,1,0,0,15,22,23.03103652889741,22.972609830729084,1,0,0,90,32,200.99813697946826,181.01933598375615,3.863773353171685,safe
0,0,0,1,0,-90,47,295.21601368859405,265.87214972614186,234.8450757763252,1,0,0,120,37,309.872127843347,256.3435195201939,1,0,0,30,2,4.187461187072255,4.141104721640332,247.95553724859346,safe
0,0,1,0,0,90,37,232.40409588251018,209.3036072312181,34.89588815231337,0,1,0,-90,7,43.96834246425868,39.597979746446654,1,0,0,60,32,133.99875798631217,128.0,35.463864897934265,safe
0,1,0,1,0,-105,42,307.77839724981067,266.56672233785497,8.025779361847098,0,0,1,0,0,50.0,50.0,0,0,0,-1,-1,-1.0,-1.0,-1.0,safe
